sample_id,sleepprotocol,hoursawake,circadianphase,ARNTL,NR1D1,PER3,ATF1,PUF60,EIF3M
GSM968964,Sleep Extension,28.5,9,28067.5,21909.5,6392.0,366.5,8200.0,28910.0
GSM968965,Sleep Restriction,7.5,-15,17600.0,16936.0,6080.0,306.0,5802.5,16332.5
GSM968966,Sleep Restriction,10.5,-12,9002.5,4752.5,4403.5,203.0,2511.0,8364.0
GSM968967,Sleep Restriction,13.5,-9,15900.5,11867.5,5079.0,297.0,4566.5,15564.0
GSM968968,Sleep Restriction,16.5,-6,16427.0,13698.0,5634.0,311.0,4842.0,14623.0
GSM968969,Sleep Restriction,19.5,-3,12246.5,10238.5,4894.5,233.0,3625.5,11678.0
GSM968970,Sleep Restriction,22.5,0,14387.5,13793.5,5521.0,237.0,4464.0,14459.5
GSM968971,Sleep Restriction,25.5,3,14926.5,14146.0,5386.0,312.0,4645.5,12992.0
GSM968972,Sleep Restriction,28.5,6,19114.5,15861.0,5110.0,293.0,4948.0,20312.5
GSM968973,Sleep Extension,7.5,-12,36285.0,11390.0,4093.5,377.0,15497.0,26373.5
GSM968974,Sleep Extension,10.5,-9,22483.5,6933.5,3435.0,267.0,9353.0,15855.5
GSM968975,Sleep Extension,16.5,-3,18976.5,9196.0,3720.5,227.0,10074.5,17640.0
GSM968976,Sleep Extension,19.5,0,10715.0,7379.5,3351.5,223.0,4467.5,7471.0
GSM968977,Sleep Extension,22.5,3,11521.0,6100.5,3715.5,295.0,3956.0,7768.0
GSM968978,Sleep Extension,28.5,9,7694.0,5128.0,2943.5,215.0,3213.0,5721.0
GSM968979,Sleep Extension,31.5,12,9131.5,7322.5,3212.5,280.0,2991.0,8249.0
GSM968980,Sleep Restriction,7.5,-15,26768.5,8755.5,3867.5,376.0,8704.0,19603.0
GSM968981,Sleep Restriction,19.5,-3,17086.0,7948.0,3878.5,324.5,7701.5,14896.0
GSM968982,Sleep Restriction,22.5,0,19511.5,9428.5,4329.0,422.0,9088.0,19460.5
GSM968983,Sleep Restriction,25.5,3,16890.0,9732.0,3586.0,371.0,6717.5,13304.5
GSM968984,Sleep Restriction,31.5,9,13349.5,10488.5,3703.5,376.5,5674.0,10204.0
GSM968985,Sleep Restriction,34.5,12,21287.0,9900.5,3692.5,328.5,7856.5,15513.5
GSM968986,Sleep Extension,7.5,-12,6721.5,10356.0,3649.0,218.5,3053.0,5266.5
GSM968987,Sleep Extension,10.5,-9,14579.5,12149.5,4415.5,292.0,5047.0,13671.0
GSM968988,Sleep Extension,13.5,-6,15788.5,19803.0,5005.5,322.0,5111.0,15901.5
GSM968989,Sleep Extension,16.5,-3,16209.5,13370.0,4974.5,371.0,6001.5,18068.5
GSM968990,Sleep Extension,19.5,0,17948.5,13759.5,5564.0,415.0,5827.5,22258.0
GSM968991,Sleep Extension,22.5,3,32039.0,19134.5,6806.0,536.0,8222.0,44281.4
GSM968992,Sleep Extension,25.5,6,23468.5,18255.5,5460.5,362.0,6497.0,20162.0
GSM968993,Sleep Extension,28.5,9,17325.5,14629.5,4758.0,319.0,6101.0,15132.5
GSM968994,Sleep Extension,31.5,12,26658.0,15750.5,5827.0,400.0,8060.0,23087.0
GSM968995,Sleep Extension,34.5,15,17873.0,14165.5,4692.5,322.5,5919.0,15209.5
