GSM1321193 	Liv_CT40
GSM1321194 	Liv_CT42
GSM1321195 	Liv_CT44
GSM1321196 	Liv_CT46
GSM1321197 	Liv_CT48
GSM1321198 	Liv_CT50
GSM1321199 	Liv_CT52
GSM1321200 	Liv_CT54
GSM1321201 	Liv_CT56
GSM1321202 	Liv_CT58
GSM1321203 	Liv_CT60
GSM1321204 	Liv_CT62
GSM1321205 	Liv_CT64
GSM1321206 	Lun_CT18
GSM1321207 	Lun_CT20
GSM1321208 	Lun_CT22
GSM1321209 	Lun_CT24
GSM1321210 	Lun_CT26
GSM1321211 	Lun_CT28
GSM1321212 	Lun_CT30
GSM1321213 	Lun_CT32
GSM1321214 	Lun_CT34
GSM1321215 	Lun_CT36
GSM1321216 	Lun_CT38
GSM1321217 	Lun_CT40
GSM1321218 	Lun_CT42
GSM1321219 	Lun_CT44
GSM1321220 	Lun_CT46
GSM1321221 	Lun_CT48
GSM1321222 	Lun_CT50
GSM1321223 	Lun_CT52
GSM1321224 	Lun_CT54
GSM1321225 	Lun_CT56
GSM1321226 	Lun_CT58
GSM1321227 	Lun_CT60
GSM1321228 	Lun_CT62
GSM1321229 	Lun_CT64
GSM1321230 	Mus_CT18
GSM1321231 	Mus_CT20
GSM1321232 	Mus_CT22
GSM1321233 	Mus_CT24
GSM1321234 	Mus_CT26
GSM1321235 	Mus_CT28
GSM1321236 	Mus_CT30
GSM1321237 	Mus_CT32
GSM1321238 	Mus_CT34
GSM1321239 	Mus_CT36
GSM1321240 	Mus_CT38
GSM1321241 	Mus_CT40
GSM1321242 	Mus_CT42
GSM1321243 	Mus_CT44
GSM1321244 	Mus_CT46
GSM1321245 	Mus_CT48
GSM1321246 	Mus_CT50
GSM1321247 	Mus_CT52
GSM1321248 	Mus_CT54
GSM1321249 	Mus_CT56
GSM1321250 	Mus_CT58
GSM1321251 	Mus_CT60
GSM1321252 	Mus_CT62
GSM1321253 	Mus_CT64
GSM1321254 	WFat_CT18
GSM1321255 	WFat_CT20
GSM1321256 	WFat_CT22
GSM1321257 	WFat_CT24
GSM1321258 	WFat_CT26
GSM1321259 	WFat_CT28
GSM1321260 	WFat_CT30
GSM1321261 	WFat_CT32
GSM1321262 	WFat_CT34
GSM1321263 	WFat_CT36
GSM1321264 	WFat_CT38
GSM1321265 	WFat_CT40
GSM1321266 	WFat_CT42
GSM1321267 	WFat_CT44
GSM1321268 	WFat_CT46
GSM1321269 	WFat_CT48
GSM1321270 	WFat_CT50
GSM1321271 	WFat_CT52
GSM1321272 	WFat_CT54
GSM1321273 	WFat_CT56
GSM1321274 	WFat_CT58
GSM1321275 	WFat_CT60
GSM1321276 	WFat_CT62
GSM1321277 	WFat_CT64
