ID	SRS014459-Stool.fasta_profile	SRS014464-Anterior_nares.fasta_profile	SRS014470-Tongue_dorsum.fasta_profile	SRS014472-Buccal_mucosa.fasta_profile	SRS014476-Supragingival_plaque.fasta_profile	SRS014494-Posterior_fornix.fasta_profile	SRS014459-Stool.fasta_profile	SRS014464-Anterior_nares.fasta_profile	SRS014470-Tongue_dorsum.fasta_profile	SRS014472-Buccal_mucosa.fasta_profile	SRS014476-Supragingival_plaque.fasta_profile	SRS014494-Posterior_fornix.fasta_profile
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	22.29594	0.0	0.0	0.0	0.0	0.0	22.29594	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale	16.13018	0.0	0.0	0.0	0.0	0.0	16.13018	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale|t__Eubacterium_rectale_unclassified	16.13018	0.0	0.0	0.0	0.0	0.0	16.13018	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum	6.16575	0.0	0.0	0.0	0.0	0.0	6.16575	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum|t__Eubacterium_siraeum_unclassified	6.16575	0.0	0.0	0.0	0.0	0.0	6.16575	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	3.49173	0.0	0.0	0.0	0.0	0.0	3.49173	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	3.49173	0.0	0.0	0.0	0.0	0.0	3.49173	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified	3.49173	0.0	0.0	0.0	0.0	0.0	3.49173	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	39.25462	0.0	0.0	0.0	0.0	0.0	39.25462	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	39.25462	0.0	0.0	0.0	0.0	0.0	39.25462	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	39.25462	0.0	0.0	0.0	0.0	0.0	39.25462	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0	0.0	53.19418	0.0	0.0	0.0	0.0	0.0	53.19418	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.0	0.0	53.19418	0.0	0.0	0.0	0.0	0.0	53.19418	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.0	0.0	53.19418	0.0	0.0	0.0	0.0	0.0	53.19418	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	0.0	0.0	53.19418	0.0	0.0	0.0	0.0	0.0	53.19418	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	0.0	0.0	17.34864	0.0	0.0	0.0	0.0	0.0	17.34864	0.0	0.0	0.0
